Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
18,2012,0.16667,0.00000,0.00000,0.00000,0.00000,0.66700,0.00000,0.33330,0.10000,2.23529,1.66667,2.83333,1.00000,2.50000,0.00000,0.00000,1095382258384.00000,40092983844.00000,0.07100
18,2013,0.14286,0.00000,0.00000,0.00000,0.00000,0.66670,0.00000,0.66670,0.20000,1.82353,1.50000,1.83333,1.00000,2.50000,0.00000,0.00000,1095382258384.00000,40092983844.00000,0.07100
18,2014,0.14286,0.00000,0.00000,0.00000,0.00000,0.66670,0.00000,0.33330,0.20000,1.82353,1.50000,1.83333,1.00000,2.50000,0.00000,0.00000,1773671000000.00000,59458874200.00000,0.03000
19,2011,0.80476,0.80000,1.00000,1.00000,0.00000,1.00000,1.00000,0.83330,0.80000,2.72917,2.16667,3.00000,3.00000,2.75000,2.66000,1.00000,4389950000000.00000,688818000000.00000,-0.02200
19,2012,0.65556,0.60000,1.00000,0.00000,1.00000,0.66700,1.00000,0.66670,0.60000,2.58824,2.33333,2.66667,3.00000,2.75000,0.00000,0.00000,1432238854121.00000,30074567643.00000,0.06000
19,2013,0.48571,0.40000,1.00000,0.00000,0.00000,0.66670,1.00000,0.50000,0.50000,2.35294,2.33333,2.16667,3.00000,2.50000,1.77000,0.00000,4370964000000.00000,1319686000000.00000,0.10600
19,2014,0.70476,0.60000,1.00000,0.00000,1.00000,0.66670,1.00000,0.66670,0.70000,2.58824,2.50000,2.50000,3.00000,2.75000,0.00000,0.00000,4245704000000.00000,1060151000000.00000,0.15970
20,2011,0.40476,0.00000,0.50000,0.00000,0.00000,0.66700,1.00000,0.66670,0.60000,2.45833,2.00000,2.33333,3.00000,2.50000,0.00000,0.00000,17354833906.00000,765784077.00000,0.01142
20,2012,0.37222,0.40000,0.50000,0.00000,0.00000,0.66700,1.00000,0.66670,0.40000,2.23529,2.00000,2.50000,1.00000,2.50000,0.00000,0.00000,4294557000000.00000,928199000000.00000,0.06300
20,2013,0.46190,0.40000,0.50000,0.00000,0.00000,0.66670,1.00000,0.66670,0.60000,2.17647,2.16667,2.16667,1.00000,2.50000,0.00000,0.00000,2318647000.00000,153332376.00000,0.19100
20,2014,0.48571,0.40000,0.50000,0.00000,0.00000,0.66670,1.00000,0.83330,0.70000,2.17647,1.83333,2.50000,1.00000,2.50000,0.00000,0.00000,1747858287500.00000,140463050000.00000,0.10290
21,2011,0.26190,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.50000,0.40000,2.37500,2.00000,2.00000,3.00000,2.50000,0.00000,0.00000,655964899966.00000,188264347906.00000,0.56360
21,2012,0.22222,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.33330,0.30000,2.11765,1.83333,2.33333,1.00000,2.50000,0.00000,1.00000,20119910983713.40000,1014175323403.53000,0.02000
21,2013,0.35714,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.83333,0.40000,2.23529,2.16667,2.33333,1.00000,2.50000,0.00000,0.00000,1442411274429.68000,437751412795.59000,0.13890
21,2014,0.45238,0.00000,0.50000,0.00000,0.00000,1.00000,1.00000,0.66670,0.60000,2.05882,2.00000,2.00000,1.00000,2.50000,0.00000,0.00000,27530275000000.00000,1903725000000.00000,0.04100
22,2011,0.70000,0.40000,1.00000,1.00000,0.50000,0.33330,1.00000,0.66670,0.70000,2.56250,2.00000,2.50000,3.00000,2.75000,68.00000,0.00000,23521794846600.20000,8647782522613.08000,0.10431
22,2012,0.50278,0.60000,0.75000,0.00000,0.00000,1.00000,1.00000,0.66670,0.70000,2.29412,2.00000,2.33333,3.00000,2.50000,72.50000,0.00000,11113224975196.40000,8109900781426.11000,0.15000
22,2013,0.69524,0.20000,0.75000,1.00000,0.25000,1.00000,1.00000,0.16670,0.50000,2.70588,2.50000,3.00000,3.00000,2.50000,10.75140,0.00000,32387804742020.00000,6309902412522.80000,0.01500
22,2014,0.57381,0.60000,0.75000,0.00000,0.00000,1.00000,1.00000,0.66670,0.40000,2.70588,2.50000,3.00000,3.00000,2.50000,10.75140,0.00000,32387804742020.00000,6309902412522.80000,0.01500
23,2011,0.62619,0.80000,0.75000,0.00000,0.00000,1.00000,1.00000,0.83330,0.70000,2.66667,2.50000,2.66667,3.00000,2.50000,70.71000,0.00000,15201235077000.00000,5639678574000.00000,0.18940
23,2012,0.93889,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.83330,0.70000,2.47059,2.16667,2.66667,3.00000,2.50000,90.99000,0.00000,19708540946000.00000,3868574769000.00000,0.25360
23,2013,0.94762,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.83330,0.70000,2.52941,2.33333,2.66667,3.00000,2.50000,47.09000,0.00000,21865117391000.00000,2792737848000.00000,0.03200
23,2014,0.94762,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.83330,0.70000,2.58824,2.50000,2.66667,3.00000,2.50000,0.00000,1.00000,22044202220000.00000,2618910283000.00000,-0.06270
24,2011,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,1.93750,1.83333,2.16667,1.00000,2.75000,0.00000,0.00000,1181111000000.00000,579502598575.00000,0.04130
