,Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE,BRD_INDP_DIV,BRD_MEET_DIV,BRD_SIZE_DIV,BRD_COMPT_DIV,BRD_EFFC_DIV
123,31,2014,0.40476,0,0.5,0,0,1,1,0.3333,0.3,2.52941,2.5,2.5,3,2.5,0,0,11.5595224096,10.6774998968,0.0278,0,0,0,0,0
124,32,2011,0.21429,0,0,0,0,0.3333,1,0.1667,0.1,1.875,1.83333,2.16667,1,2.5,0,0,12.233171158,10.4750307202,0.11,0,0,0,0,0
125,32,2012,0.08333,0,0,0,0,0.3333,1,0.1667,0,1.94118,1.83333,1.5,3,2.5,0,0,12.1771034541,10.4350252801,0.09,0,0,0,0,0
126,32,2013,0.21429,0,0,0,0,0.3333,1,0.1667,0.1,1.86667,1.83333,1.5,1,2.5,0,0,12.7416338893,9.1845256176,0.026,0,0,0,0,0
127,32,2014,0.21429,0,0,0,0,0.3333,1,0.167,0.1,1.86667,1.83333,1.5,1,2.5,0,1,12.7413448947,11.3527985687,-0.031,0,0,0,0,0
128,33,2011,0.65476,0,0.75,0.75,0.75,0.6667,1,0.6667,0.5,2.25,1.5,2,3,2.5,190.90909,0,12.3499358778,11.7413625283,0.34,286.363635,381.81818,572.72727,477.272725,429.5454525
129,33,2012,0.43056,0,0.5,0.5,0.25,0.6667,1,0.6667,0.2,2.11765,1.66667,2.16667,3,2.5,436.8932,0,12.4160067669,11.4418842296,0.24,728.156789644,946.603389644,1310.6796,1092.233,925.18688498
130,33,2013,0.69762,0.8,0.25,0,1,1,1,0.8333,0.6,2.11765,1.5,2.33333,3,2.5,457.31707,0,12.5241759802,11.7059944712,0.25,685.975605,1067.07163894,1371.95121,1143.292675,968.437493285
131,33,2014,0.69762,0.8,0.25,0,1,1,1,0.8333,0.6,2.11765,1.5,2.33333,3,2.5,468.5,0,12.5117079374,11.6956677003,0.17,702.75,1093.165105,1405.5,1171.25,992.119025
132,34,2011,0.74048,0.6,0.75,0.75,0.75,1,1,0.3333,0.3,2.375,1.66667,2.33333,3,2.5,74,0,13.2613536923,12.535755392,0.14,123.33358,172.66642,222,185,175.75
133,34,2012,0.62222,0.4,0.5,0.5,0.5,1,1,0.8333,0.7,2.23529,1.83333,2.33333,3,2.5,60,0,13.3577247208,12.5316967087,0.03,109.9998,139.9998,180,150,134.1174
134,34,2013,0.67619,0.4,0.5,0.5,0.5,1,1,0.8333,0.7,2.29412,1.83333,2.5,3,2.5,44.47561,1,13.4509853246,12.6001590316,-0.0007,81.5384700813,111.189025,133.42683,111.189025,102.032386413
135,34,2014,0.67619,0.4,0.5,0.5,0.5,1,1,0.83333,0.7,2.29412,1.83333,2.5,3,2.5,0,1,13.4568123018,12.6189591745,-0.0315,0,0,0,0,0
